2017-09-08T10:25:35.811+0800 I NETWORK  [conn36] received client metadata from 127.0.0.1:62589 conn36: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:26:30.398+0800 I -        [conn36] end connection 127.0.0.1:62589 (5 connections now open)
2017-09-08T10:26:30.398+0800 I -        [conn35] end connection 127.0.0.1:62534 (5 connections now open)
2017-09-08T10:26:30.998+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62891 #37 (4 connections now open)
2017-09-08T10:26:30.999+0800 I NETWORK  [conn37] received client metadata from 127.0.0.1:62891 conn37: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:26:41.827+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62941 #38 (5 connections now open)
2017-09-08T10:26:41.827+0800 I NETWORK  [conn38] received client metadata from 127.0.0.1:62941 conn38: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:43:25.352+0800 I -        [conn37] end connection 127.0.0.1:62891 (5 connections now open)
2017-09-08T10:43:25.352+0800 I -        [conn38] end connection 127.0.0.1:62941 (4 connections now open)
2017-09-08T10:43:25.854+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:51479 #39 (4 connections now open)
2017-09-08T10:43:25.855+0800 I NETWORK  [conn39] received client metadata from 127.0.0.1:51479 conn39: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:43:34.558+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:51524 #40 (5 connections now open)
2017-09-08T10:43:34.559+0800 I NETWORK  [conn40] received client metadata from 127.0.0.1:51524 conn40: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:46:35.778+0800 I -        [conn39] end connection 127.0.0.1:51479 (5 connections now open)
2017-09-08T10:46:35.778+0800 I -        [conn40] end connection 127.0.0.1:51524 (5 connections now open)
2017-09-08T10:46:36.285+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:52377 #41 (4 connections now open)
2017-09-08T10:46:36.287+0800 I NETWORK  [conn41] received client metadata from 127.0.0.1:52377 conn41: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:47:48.110+0800 I -        [conn41] end connection 127.0.0.1:52377 (4 connections now open)
2017-09-08T10:47:48.564+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:52705 #42 (4 connections now open)
2017-09-08T10:47:48.565+0800 I NETWORK  [conn42] received client metadata from 127.0.0.1:52705 conn42: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:48:54.793+0800 I -        [conn42] end connection 127.0.0.1:52705 (4 connections now open)
